"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","X.1","Hospital_Cumulative","IC_Intake_Proven_Cumsum","ic_intake_nice"
2020-04-13,147,37,44,0,1219,76,2353,1465,492,330,343,184,44,923,27,NA,NA,NA,46
2020-04-14,145,36,33,2,1191,76,2389,1485,501,379,337,181,35,959,29,NA,NA,NA,36
2020-04-15,106,20,22,1,1166,76,2413,1398,519,430,336,126,23,979,30,NA,NA,NA,24
2020-04-16,104,24,28,0,1134,76,2442,1291,537,478,323,128,28,1003,30,NA,NA,NA,29
2020-04-17,135,26,25,0,1104,76,2468,1255,556,522,326,161,25,1029,30,NA,NA,NA,26
2020-04-18,73,18,18,0,1057,76,2486,1118,570,544,343,91,18,1047,30,NA,NA,NA,18
2020-04-19,75,15,19,0,1027,76,2506,1090,586,550,365,90,19,1062,30,NA,NA,NA,20
2020-04-20,99,30,25,1,1008,76,2533,1137,605,605,351,129,26,1092,31,NA,NA,NA,27
2020-04-21,105,34,20,0,972,76,2555,1108,626,655,351,139,20,1126,31,NA,NA,NA,22
2020-04-22,80,25,14,0,916,77,2570,1031,643,698,345,105,14,1151,31,NA,NA,NA,15
2020-04-23,87,43,16,0,876,77,2586,996,657,743,324,130,16,1194,31,NA,NA,NA,16
2020-04-24,76,31,17,1,859,76,2605,951,669,802,295,107,18,1225,32,NA,NA,NA,19
2020-04-25,38,26,13,0,829,76,2619,823,679,819,300,64,13,1251,32,NA,NA,NA,14
2020-04-26,37,27,13,0,806,76,2632,792,692,826,318,64,13,1278,32,NA,NA,NA,13
2020-04-27,55,25,14,0,782,76,2646,788,703,836,334,80,14,1303,32,NA,NA,NA,14
2020-04-28,84,33,14,1,761,76,2661,817,707,883,322,117,15,1336,33,NA,NA,NA,15
2020-04-29,55,25,11,0,733,76,2673,757,713,919,322,80,11,1361,33,NA,NA,NA,12
2020-04-30,57,25,18,0,708,76,2691,733,724,958,312,82,18,1386,33,NA,NA,NA,18
2020-05-01,50,16,9,0,673,76,2700,683,727,997,315,66,9,1402,33,NA,NA,NA,9
2020-05-02,26,15,9,0,633,76,2709,598,737,1012,315,41,9,1417,33,NA,NA,NA,9
2020-05-03,35,11,10,0,620,76,2720,584,742,1019,327,46,10,1428,33,NA,NA,NA,11
2020-05-04,57,22,11,1,610,76,2732,629,748,1058,324,79,12,1450,34,NA,NA,NA,12
2020-05-05,28,9,3,0,569,76,2735,546,754,1070,339,37,3,1459,34,NA,NA,NA,3
2020-05-06,51,21,5,0,542,73,2741,563,759,1106,331,72,5,1480,34,NA,NA,NA,6
2020-05-07,44,16,8,1,521,72,2751,537,767,1142,327,60,9,1496,35,NA,NA,NA,10
2020-05-08,53,24,7,0,489,72,2758,531,771,1176,316,77,7,1520,35,NA,NA,NA,7
2020-05-09,29,7,5,0,467,72,2763,476,777,1185,324,36,5,1527,35,NA,NA,NA,5
2020-05-10,22,19,4,1,450,72,2768,465,779,1188,333,41,5,1546,36,NA,NA,NA,5
2020-05-11,41,25,7,1,444,73,2776,496,786,1225,332,66,8,1571,37,NA,NA,NA,8
2020-05-12,23,29,2,0,402,71,2778,471,789,1266,310,52,2,1600,37,NA,NA,NA,2
2020-05-13,34,27,3,1,384,71,2782,448,793,1299,306,61,4,1627,38,NA,NA,NA,4
2020-05-14,22,22,8,2,360,71,2792,425,796,1327,294,44,10,1649,40,NA,NA,NA,10
2020-05-15,31,26,3,0,343,71,2796,411,802,1362,273,57,3,1675,40,NA,NA,NA,4
2020-05-16,16,6,7,1,328,70,2805,359,803,1372,272,22,8,1681,41,NA,NA,NA,9
2020-05-17,28,12,4,0,323,70,2810,374,803,1376,277,40,4,1693,41,NA,NA,NA,5
2020-05-18,36,22,4,0,317,70,2814,415,804,1408,280,58,4,1715,41,NA,NA,NA,4
2020-05-19,14,12,1,1,284,67,2816,388,806,1437,264,26,2,1727,42,NA,NA,NA,2
2020-05-20,29,17,2,0,273,66,2819,382,811,1465,252,46,2,1744,42,NA,NA,NA,3
2020-05-21,14,8,2,0,252,66,2821,345,815,1471,258,22,2,1752,42,NA,NA,NA,2
2020-05-22,28,19,4,0,241,66,2826,370,818,1504,241,47,4,1771,42,NA,NA,NA,5
2020-05-23,12,7,3,0,224,63,2829,330,819,1507,244,19,3,1778,42,NA,NA,NA,3
2020-05-24,18,13,7,0,223,63,2836,328,821,1507,254,31,7,1791,42,NA,NA,NA,7
2020-05-25,31,22,1,0,213,62,2837,359,822,1529,258,53,1,1813,42,NA,NA,NA,1
2020-05-26,25,15,4,0,190,62,2841,358,824,1547,252,40,4,1828,42,NA,NA,NA,4
2020-05-27,18,14,3,1,175,58,2845,333,825,1571,237,32,4,1842,43,NA,NA,NA,4
2020-05-28,14,12,1,0,167,57,2846,307,827,1600,219,26,1,1854,43,NA,NA,NA,1
2020-05-29,23,13,1,2,157,56,2849,307,830,1620,207,36,3,1867,45,NA,NA,NA,3
2020-05-30,20,5,2,0,147,54,2851,288,830,1627,202,25,2,1872,45,NA,NA,NA,2
2020-05-31,7,7,3,0,148,54,2854,279,830,1627,209,14,3,1879,45,NA,NA,NA,3
2020-06-01,12,7,4,0,145,53,2858,285,832,1627,212,19,4,1886,45,NA,NA,NA,4
2020-06-02,17,16,1,0,141,53,2859,304,832,1652,204,33,1,1902,45,NA,NA,NA,1
2020-06-03,16,9,4,1,129,50,2864,297,837,1672,189,25,5,1911,46,NA,NA,NA,5
2020-06-04,13,18,5,0,125,52,2869,290,839,1690,173,31,5,1929,46,NA,NA,NA,5
2020-06-05,9,9,3,0,123,51,2872,272,839,1700,165,18,3,1938,46,NA,NA,NA,3
2020-06-06,3,6,2,0,122,51,2874,237,841,1702,166,9,2,1944,46,NA,NA,NA,2
2020-06-07,3,9,3,0,121,50,2877,236,841,1704,166,12,3,1953,46,NA,NA,NA,3
2020-06-08,8,8,0,1,121,49,2879,240,841,1720,158,16,1,1961,47,NA,NA,NA,2
2020-06-09,9,9,2,0,113,48,2881,222,841,1731,151,18,2,1970,47,NA,NA,NA,2
2020-06-10,5,6,2,0,110,48,2883,204,842,1744,142,11,2,1976,47,NA,NA,NA,2
2020-06-11,14,12,1,0,106,48,2884,209,843,1755,137,26,1,1988,47,NA,NA,NA,1
2020-06-12,5,4,3,0,103,47,2887,199,844,1763,132,9,3,1992,47,NA,NA,NA,3
2020-06-13,4,4,1,0,100,45,2888,177,845,1763,132,8,1,1996,47,NA,NA,NA,1
2020-06-14,2,5,0,0,99,44,2888,174,847,1764,131,7,0,2001,47,NA,NA,NA,0
2020-06-15,5,4,1,0,98,44,2889,178,848,1782,123,9,1,2005,47,NA,NA,NA,1
2020-06-16,7,6,2,0,90,44,2891,177,850,1787,122,13,2,2011,47,NA,NA,NA,2
2020-06-17,4,10,0,0,83,42,2891,170,850,1793,122,14,0,2021,47,NA,NA,NA,0
2020-06-18,2,13,1,0,77,41,2892,175,851,1800,122,15,1,2034,47,NA,NA,NA,1
2020-06-19,3,10,0,0,71,38,2893,174,852,1810,114,13,0,2044,47,NA,NA,NA,1
2020-06-20,4,5,2,0,69,38,2895,157,853,1810,117,9,2,2049,47,NA,NA,NA,2
2020-06-21,4,9,0,0,65,36,2895,160,854,1810,117,13,0,2058,47,NA,NA,NA,0
2020-06-22,5,8,3,1,68,38,2899,166,855,1815,119,13,4,2066,48,NA,NA,NA,4
2020-06-23,5,7,1,0,61,35,2900,160,856,1821,118,12,1,2073,48,NA,NA,NA,1
2020-06-24,3,12,1,1,57,34,2902,159,857,1828,114,15,2,2085,49,NA,NA,NA,2
2020-06-25,6,8,1,0,54,33,2903,161,857,1834,113,14,1,2093,49,NA,NA,NA,1
2020-06-26,3,5,0,0,49,31,2903,161,858,1837,113,8,0,2098,49,NA,NA,NA,0
2020-06-27,1,2,0,0,46,30,2903,139,859,1837,116,3,0,2100,49,NA,NA,NA,0
2020-06-28,3,9,0,0,42,29,2903,145,859,1837,116,12,0,2109,49,NA,NA,NA,0
2020-06-29,6,6,0,0,42,29,2903,155,859,1843,113,12,0,2115,49,NA,NA,NA,0
2020-06-30,2,4,2,0,41,28,2905,142,859,1849,110,6,2,2119,49,NA,NA,NA,2
2020-07-01,3,3,0,0,37,26,2905,134,859,1851,109,6,0,2122,49,NA,NA,NA,0
2020-07-02,4,3,1,1,38,27,2907,129,860,1855,107,7,2,2125,50,NA,NA,NA,2
2020-07-03,4,7,0,0,35,26,2907,132,860,1863,99,11,0,2132,50,NA,NA,NA,0
2020-07-04,0,2,1,0,36,26,2908,124,860,1863,100,2,1,2134,50,NA,NA,NA,1
2020-07-05,1,5,0,0,35,25,2908,126,860,1864,100,6,0,2139,50,NA,NA,NA,0
2020-07-06,1,7,0,0,34,24,2908,135,861,1868,98,8,0,2146,50,NA,NA,NA,0
2020-07-07,3,6,1,0,32,23,2909,139,862,1871,97,9,1,2152,50,NA,NA,NA,1
2020-07-08,3,7,1,0,28,22,2910,141,862,1874,95,10,1,2159,50,NA,NA,NA,1
2020-07-09,3,7,1,1,29,21,2912,140,862,1877,92,10,2,2166,51,NA,NA,NA,2
2020-07-10,5,6,1,0,30,21,2913,146,862,1877,93,11,1,2172,51,NA,NA,NA,1
2020-07-11,2,1,0,1,29,19,2914,130,862,1877,93,3,1,2173,52,NA,NA,NA,1
2020-07-12,2,3,1,0,30,19,2915,131,863,1879,92,5,1,2176,52,NA,NA,NA,1
2020-07-13,4,6,0,0,29,20,2915,142,864,1880,92,10,0,2182,52,NA,NA,NA,0
2020-07-14,5,4,0,3,30,21,2918,142,865,1881,92,9,3,2186,55,NA,NA,NA,3
2020-07-15,1,4,1,0,29,20,2919,133,865,1885,90,5,1,2190,55,NA,NA,NA,1
2020-07-16,2,8,1,0,28,20,2920,134,865,1888,87,10,1,2198,55,NA,NA,NA,1
2020-07-17,4,4,0,0,30,19,2920,134,865,1888,88,8,0,2202,55,NA,NA,NA,0
2020-07-18,4,7,0,0,29,18,2920,136,865,1888,88,11,0,2209,55,NA,NA,NA,0
2020-07-19,4,3,1,0,31,18,2921,142,865,1888,89,7,1,2212,55,NA,NA,NA,1
2020-07-20,3,6,0,0,30,18,2921,151,865,1891,87,9,0,2218,55,NA,NA,NA,0
2020-07-21,1,2,0,0,30,18,2930,210,867,1884,101,3,0,2294,62,NA,NA,NA,9
2020-07-22,1,5,0,0,31,18,2932,211,866,1882,104,6,0,2295,63,NA,NA,NA,2
2020-07-23,1,5,0,0,32,18,2935,209,867,1884,103,6,0,2294,64,NA,NA,NA,3
2020-07-24,1,4,0,1,30,17,2934,216,867,1888,99,5,1,2313,64,NA,NA,NA,0
2020-07-25,0,5,1,0,30,17,2936,214,867,1888,102,5,1,2308,66,NA,NA,NA,2
2020-07-26,0,3,0,0,30,17,2938,211,867,1889,102,3,0,2308,67,NA,NA,NA,2
2020-07-27,1,5,1,1,28,15,2940,212,867,1890,105,6,2,2311,65,NA,NA,NA,2
2020-07-28,0,5,0,1,34,18,2946,217,867,1891,104,5,1,2320,67,NA,NA,NA,6
2020-07-29,0,2,0,0,28,17,2941,219,867,1892,105,2,0,2320,62,NA,NA,NA,0
2020-07-30,1,13,0,0,27,16,2942,217,868,1896,102,14,0,2346,61,NA,NA,NA,1
2020-07-31,0,11,2,1,35,18,2949,220,868,1900,97,11,3,2349,64,NA,NA,NA,7
2020-08-01,0,10,1,0,36,19,2951,218,869,1900,98,10,1,2350,64,NA,NA,NA,2
2020-08-02,1,5,0,0,35,19,2951,218,869,1900,98,6,0,2341,64,NA,NA,NA,0
2020-08-03,0,4,1,0,42,20,2955,204,868,1903,91,4,1,2327,67,1,NA,NA,4
2020-08-04,0,6,1,0,43,22,2954,223,869,1910,84,6,1,2342,62,NA,NA,NA,0
2020-08-05,0,4,2,0,45,22,2959,213,869,1914,82,4,2,2325,62,NA,NA,NA,5
2020-08-06,0,9,0,1,37,22,2951,224,869,1915,81,9,1,2351,55,NA,NA,NA,0
2020-08-07,0,11,0,0,38,23,2954,227,868,1917,82,11,0,2358,56,NA,NA,NA,3
2020-08-08,0,8,0,0,38,24,2954,226,868,1917,82,8,0,2358,54,NA,NA,NA,0
2020-08-09,0,10,1,0,38,24,2955,229,868,1917,82,10,1,2361,54,NA,NA,NA,1
2020-08-10,0,7,2,0,41,25,2964,235,872,1917,85,7,2,2365,56,NA,NA,NA,9
2020-08-11,0,11,1,2,39,25,2964,256,871,1919,86,11,3,2389,55,NA,NA,NA,0
2020-08-12,1,9,1,2,43,25,2970,275,872,1920,86,10,3,2404,57,NA,NA,NA,6
2020-08-13,0,22,1,4,50,27,2981,293,872,1920,89,22,5,2421,63,NA,NA,NA,11
2020-08-14,0,18,3,3,59,30,2993,311,872,1922,90,18,6,2440,70,NA,NA,NA,12
2020-08-15,0,6,1,0,57,30,2991,299,872,1923,90,6,1,2429,65,NA,NA,NA,0
2020-08-16,0,9,0,0,55,31,2991,304,873,1923,91,9,0,2435,64,NA,NA,NA,0
2020-08-17,2,8,1,2,54,32,2996,304,874,1933,88,10,3,2442,65,NA,NA,NA,5
2020-08-18,0,11,0,1,53,32,3003,307,876,1940,84,11,1,2452,61,NA,NA,NA,7
2020-08-19,1,6,1,1,54,33,3006,311,876,1941,85,7,2,2477,61,NA,NA,NA,3
2020-08-20,1,7,0,0,51,31,3007,299,876,1948,83,8,0,2463,62,NA,NA,NA,1
2020-08-21,1,10,2,1,56,33,3015,303,880,1951,84,11,3,2482,61,NA,NA,NA,8
2020-08-22,1,7,0,0,54,32,3016,288,879,1952,85,8,0,2483,58,NA,NA,NA,1
2020-08-23,0,2,1,0,53,33,3017,283,880,1956,83,2,1,2479,58,NA,NA,NA,1
2020-08-24,0,4,0,0,56,36,3021,280,879,1956,85,4,0,2481,58,NA,NA,NA,4
2020-08-25,1,5,1,0,53,33,3028,301,881,1958,90,6,1,2492,62,NA,NA,NA,7
2020-08-26,1,7,0,0,47,32,3027,286,883,1959,91,8,0,2489,59,NA,NA,NA,0
2020-08-27,0,9,0,1,48,31,3026,280,882,1962,87,9,1,2386,56,NA,NA,NA,0
2020-08-28,0,11,0,0,47,32,3029,265,882,1964,91,11,0,2379,56,NA,NA,NA,3
2020-08-29,0,7,0,0,44,30,3030,251,882,1966,91,7,0,2369,57,NA,NA,NA,1
2020-08-30,0,5,0,0,43,30,3030,236,882,1967,91,5,0,2358,57,NA,NA,NA,0
2020-08-31,0,7,1,1,51,33,3035,230,884,1981,74,7,2,2352,56,NA,NA,NA,5
2020-09-01,0,4,0,0,42,32,3033,242,885,1996,65,4,0,2383,54,NA,NA,NA,0
2020-09-02,0,6,0,1,43,31,3037,241,885,1999,63,6,1,2393,56,NA,NA,NA,4
2020-09-03,1,3,2,0,43,29,3043,241,886,2000,66,4,2,2406,58,NA,NA,NA,6
2020-09-04,1,8,0,1,46,28,3047,242,887,2005,60,9,1,2277,59,NA,NA,NA,4
2020-09-05,1,8,0,1,43,28,3046,257,888,2005,61,9,1,2298,57,NA,NA,NA,0
2020-09-06,0,4,1,0,43,29,3046,251,888,2006,60,4,1,2298,56,NA,NA,NA,0
2020-09-07,0,10,0,0,42,31,3050,247,888,2008,63,10,0,2291,55,NA,NA,NA,4
2020-09-08,2,17,0,0,45,30,3056,264,889,2009,63,19,0,2300,58,NA,NA,NA,6
2020-09-09,4,7,1,0,43,29,3057,271,891,2009,64,11,1,2300,55,NA,NA,NA,1
2020-09-10,1,9,0,1,47,28,3062,282,892,2015,60,10,1,2318,58,NA,NA,NA,5
2020-09-11,2,6,1,0,48,27,3066,263,895,2024,52,8,1,2308,57,NA,NA,NA,4
2020-09-12,0,3,1,0,50,28,3070,266,895,2025,51,3,1,2313,56,NA,NA,NA,4
2020-09-13,0,5,0,1,51,29,3072,283,895,2025,52,5,1,2324,57,NA,NA,NA,2
2020-09-14,2,6,0,0,59,33,3081,284,896,2026,53,8,0,2319,60,NA,NA,NA,9
2020-09-15,2,5,3,2,75,33,3099,312,895,2030,55,7,5,2335,64,NA,12452,NA,18
2020-09-16,1,12,0,0,72,35,3105,333,896,2032,58,13,0,2348,65,NA,12505,NA,6
2020-09-17,0,7,0,2,66,39,3161,334,902,2083,54,7,2,2965,135,NA,13134,NA,56
2020-09-18,5,14,3,0,67,41,3164,329,902,2088,49,19,3,2950,133,NA,13189,NA,3
2020-09-19,2,14,0,0,64,38,3140,338,898,2069,49,16,0,2600,108,NA,12911,NA,0
2020-09-20,0,10,2,0,70,42,3147,348,899,2070,49,10,2,2607,109,NA,12935,NA,7
2020-09-21,2,9,2,1,86,47,3166,381,899,2073,49,11,3,2632,109,NA,13010,NA,19
2020-09-22,5,11,2,3,103,52,3182,458,901,2073,48,16,5,2655,111,NA,13110,NA,16
2020-09-23,5,14,4,1,108,53,3178,452,899,2065,49,19,5,2647,106,NA,13141,NA,0
2020-09-24,3,15,5,0,121,55,3210,451,903,2082,43,18,5,2635,107,NA,13221,2975,32
2020-09-25,6,14,1,2,125,55,3216,538,904,2084,44,20,3,2668,104,NA,13365,2985,6
2020-09-26,2,14,2,1,128,56,3227,539,905,2086,47,16,3,2674,101,NA,13404,2997,11
2020-09-27,5,12,1,0,130,57,3237,535,909,2087,49,17,1,2674,103,NA,13426,3006,10
2020-09-28,6,8,5,2,144,55,3259,556,910,2090,56,14,7,2661,103,NA,13519,3030,22
2020-09-29,2,10,6,1,153,60,3284,613,913,2092,68,12,7,2693,104,NA,13620,3055,25
2020-09-30,1,24,5,1,164,61,3311,631,915,2098,76,25,6,2698,112,NA,13712,3071,27
2020-10-01,5,15,2,4,169,59,3330,650,919,2104,76,20,6,2711,119,NA,13796,3081,19
2020-10-02,2,16,2,2,170,60,3342,618,921,2108,81,18,4,2693,118,NA,13866,3095,12
2020-10-03,6,16,4,0,170,61,3348,644,923,2110,83,22,4,2723,109,NA,13987,3108,6
2020-10-04,5,8,4,1,174,62,3365,659,925,2113,90,13,5,2724,111,NA,14048,3121,17
2020-10-05,14,25,9,5,206,63,3411,781,929,2118,99,39,14,2746,120,NA,14317,3157,46
2020-10-06,5,20,4,1,211,66,3426,850,933,2123,102,25,5,2788,114,NA,14475,3176,15
2020-10-07,6,14,6,2,231,69,3462,924,934,2133,106,20,8,2798,112,NA,14642,3212,36
2020-10-08,14,13,9,0,245,67,3489,924,940,2145,99,27,9,2759,110,NA,14746,3244,27
2020-10-09,14,21,9,1,257,67,3517,932,945,2155,100,35,10,2775,115,NA,14877,3265,28
2020-10-10,10,23,5,1,250,67,3534,970,952,2161,109,33,6,2805,114,NA,15005,3284,17
2020-10-11,3,13,3,0,254,66,3551,990,955,2172,106,16,3,2799,113,NA,15091,3301,17
2020-10-12,12,21,8,6,277,66,3592,1079,964,2179,111,33,14,2798,118,NA,15310,3334,41
2020-10-13,22,37,8,4,297,69,3630,1238,969,2189,113,59,12,2854,116,NA,15598,3370,38
2020-10-14,15,23,7,2,321,70,3668,1237,974,2199,111,38,9,2850,119,NA,15735,3403,38
2020-10-15,14,19,9,2,334,73,3705,1283,978,2210,117,33,11,2859,113,NA,15893,3448,37
2020-10-16,10,21,15,0,360,73,3750,1289,980,2219,127,31,15,2858,118,NA,16073,3487,45
2020-10-17,12,17,9,2,373,75,3797,1295,988,2227,134,29,11,2866,118,NA,16226,3529,47
2020-10-18,10,19,9,1,383,73,3830,1316,994,2234,136,29,10,2878,116,NA,16418,3563,33
2020-10-19,12,26,15,1,406,73,3878,1403,1005,2242,154,38,16,2887,119,NA,16682,3609,48
2020-10-20,20,23,19,3,449,74,3944,1533,1012,2252,168,43,22,2925,126,NA,16974,3668,66
2020-10-21,20,15,17,2,468,75,3994,1550,1020,2264,174,35,19,2927,127,NA,17161,3714,50
2020-10-22,12,27,18,3,486,74,4044,1576,1029,2274,187,39,21,2940,126,NA,17402,3758,50
2020-10-23,9,29,16,3,488,74,4084,1653,1037,2291,199,38,19,2959,124,NA,17660,3801,40
2020-10-24,16,20,5,1,497,74,4124,1693,1048,2304,196,36,6,2953,125,NA,17891,3839,40
2020-10-25,20,13,15,0,512,74,4169,1660,1059,2313,205,33,15,2927,128,NA,18016,3873,45
2020-10-26,17,23,21,4,532,74,4229,1712,1073,2329,214,40,25,2931,125,NA,18263,3941,60
2020-10-27,19,15,15,0,546,75,4279,1704,1079,2345,229,34,15,2895,122,NA,18527,3994,50
2020-10-28,20,15,17,1,554,76,4331,1767,1092,2377,232,35,18,2926,125,NA,18879,4037,52
2020-10-29,14,17,17,1,573,75,4385,1767,1099,2396,237,31,18,2946,124,NA,19151,4091,54
2020-10-30,16,22,11,2,581,74,4429,1796,1109,2423,235,38,13,2950,124,NA,19379,4134,44
2020-10-31,18,8,10,0,584,74,4463,1790,1116,2432,250,26,10,2960,122,NA,19589,4169,34
2020-11-01,16,10,14,0,608,75,4521,1752,1133,2445,253,26,14,2947,128,NA,19757,4221,58
2020-11-02,29,12,15,3,616,77,4573,1853,1147,2455,272,41,18,2963,128,NA,20008,4270,52
2020-11-03,24,21,13,2,630,77,4624,1986,1154,2473,278,45,15,3010,120,NA,20374,4326,51
2020-11-04,20,21,16,1,634,76,4671,1942,1167,2491,292,41,17,2993,120,NA,20603,4367,47
2020-11-05,20,16,5,5,623,76,4698,1914,1180,2522,283,36,10,2998,123,NA,20824,4390,27
2020-11-06,18,15,11,1,634,76,4745,1806,1191,2550,281,33,12,2989,124,NA,20999,4433,47
2020-11-07,9,20,10,1,618,76,4780,1689,1208,2585,271,29,11,2975,124,NA,21162,4470,35
2020-11-08,12,23,12,2,619,77,4817,1696,1219,2591,287,35,14,2998,125,NA,21279,4504,37
2020-11-09,21,16,16,1,632,76,4868,1698,1232,2608,304,37,17,3011,121,NA,21461,4561,51
2020-11-10,13,26,11,0,624,77,4903,1746,1244,2629,306,39,11,3053,118,NA,21726,4598,35
2020-11-11,15,16,9,1,628,77,4937,1725,1259,2658,299,31,10,3057,119,NA,21977,4629,34
2020-11-12,19,20,12,4,635,77,4979,1717,1271,2687,291,39,16,3066,118,NA,22175,4669,42
2020-11-13,8,7,10,1,634,77,5013,1633,1286,2714,285,15,11,3063,120,NA,22356,4701,34
2020-11-14,6,10,4,1,615,77,5041,1637,1298,2745,282,16,5,3079,117,NA,22561,4730,28
2020-11-15,9,17,7,0,606,76,5066,1639,1309,2755,299,26,7,3077,118,NA,22671,4752,25
2020-11-16,15,28,9,2,599,76,5102,1714,1332,2771,306,43,11,3097,116,NA,22880,4788,36
2020-11-17,15,17,4,1,587,76,5138,1691,1346,2791,316,32,5,3080,118,NA,23062,4819,36
2020-11-18,14,18,7,4,574,76,5176,1667,1362,2819,320,32,11,3110,123,NA,23239,4850,38
