"date","age_group","cases","ggd_code"
2020-02-27,"70-79",4,"GG5406"
2020-02-27,"0-9",1,"GG4506"
2020-02-27,"30-39",1,"GG4506"
2020-02-27,"70-79",1,"GG4506"
2020-02-27,"10-19",1,"GG3109"
2020-02-27,"30-39",1,"GG3109"
2020-02-27,"60-69",1,"GG6011"
2020-02-27,"90+",1,"GG6011"
2020-02-27,"40-49",1,"GG1413"
2020-02-27,"10-19",1,"GG2514"
2020-02-27,"20-29",2,"GG2514"
2020-02-27,"40-49",1,"GG2514"
2020-02-27,"70-79",1,"GG2514"
2020-02-27,"20-29",1,"GG4607"
2020-02-27,"50-59",2,"GG4607"
2020-02-27,"60-69",1,"GG4607"
2020-02-27,"30-39",1,"GG5206"
2020-02-27,"40-49",2,"GG5206"
2020-02-27,"60-69",2,"GG5206"
2020-02-27,"70-79",1,"GG7306"
2020-02-27,"50-59",1,"GG6106"
2020-02-27,"70-79",2,"GG6106"
2020-02-27,"80-89",2,"GG6106"
2020-02-27,"70-79",1,"GG1911"
2020-02-28,"40-49",1,"GG4816"
2020-02-28,"70-79",1,"GG4816"
2020-02-28,"40-49",1,"GG5608"
2020-02-28,"50-59",1,"GG5608"
2020-02-28,"70-79",1,"GG5608"
2020-02-28,"50-59",3,"GG0706"
2020-02-28,"40-49",1,"GG2209"
2020-02-28,"40-49",1,"GG2014"
2020-02-28,"50-59",1,"GG2014"
2020-02-28,"40-49",1,"GG7014"
2020-02-28,"80-89",1,"GG7014"
2020-02-28,"40-49",1,"GG5406"
2020-02-28,"50-59",6,"GG5406"
2020-02-28,"80-89",2,"GG5406"
2020-02-28,"30-39",2,"GG4506"
2020-02-28,"70-79",1,"GG2707"
2020-02-28,"50-59",1,"GG3109"
2020-02-28,"80-89",2,"GG6011"
2020-02-28,"20-29",1,"GG1413"
2020-02-28,"60-69",1,"GG1413"
2020-02-28,"70-79",1,"GG1413"
2020-02-28,"50-59",2,"GG1106"
2020-02-28,"10-19",1,"GG2514"
2020-02-28,"20-29",1,"GG2514"
2020-02-28,"30-39",1,"GG2514"
2020-02-28,"40-49",1,"GG2514"
2020-02-28,"50-59",2,"GG2514"
2020-02-28,"60-69",1,"GG2514"
2020-02-28,"70-79",1,"GG2514"
2020-02-28,"20-29",2,"GG4607"
2020-02-28,"50-59",2,"GG4607"
2020-02-28,"70-79",1,"GG4607"
2020-02-28,"80-89",1,"GG4607"
2020-02-28,"20-29",1,"GG5206"
2020-02-28,"40-49",2,"GG5206"
2020-02-28,"50-59",3,"GG5206"
2020-02-28,"60-69",1,"GG5206"
2020-02-28,"70-79",2,"GG5206"
2020-02-28,"80-89",2,"GG5206"
2020-02-28,"50-59",1,"GG5006"
2020-02-28,"40-49",1,"GG6106"
2020-02-28,"50-59",1,"GG6106"
2020-02-28,"60-69",2,"GG6106"
2020-02-28,"70-79",1,"GG6106"
2020-02-28,"10-19",1,"GG1911"
2020-02-28,"20-29",1,"GG1911"
2020-02-28,"70-79",1,"GG1911"
2020-02-29,"10-19",1,"GG4816"
2020-02-29,"40-49",1,"GG4816"
2020-02-29,"80-89",1,"GG4816"
2020-02-29,"40-49",1,"GG3406"
2020-02-29,"50-59",1,"GG3406"
2020-02-29,"60-69",1,"GG3406"
2020-02-29,"10-19",1,"GG5608"
2020-02-29,"30-39",1,"GG5608"
2020-02-29,"30-39",1,"GG0706"
2020-02-29,"70-79",1,"GG0706"
2020-02-29,"50-59",1,"GG2209"
2020-02-29,"50-59",1,"GG3606"
2020-02-29,"40-49",1,"GG7014"
2020-02-29,"10-19",1,"GG5406"
2020-02-29,"30-39",1,"GG5406"
2020-02-29,"40-49",2,"GG5406"
2020-02-29,"50-59",3,"GG5406"
2020-02-29,"60-69",2,"GG5406"
2020-02-29,"70-79",2,"GG5406"
2020-02-29,"20-29",1,"GG4506"
2020-02-29,"40-49",1,"GG1009"
2020-02-29,"50-59",1,"GG1009"
2020-02-29,"70-79",1,"GG1009"
2020-02-29,"80-89",1,"GG3109"
2020-02-29,"80-89",1,"GG6011"
2020-02-29,"40-49",1,"GG1413"
2020-02-29,"50-59",1,"GG1413"
2020-02-29,"60-69",1,"GG1413"
2020-02-29,"20-29",1,"GG1106"
2020-02-29,"60-69",1,"GG1106"
2020-02-29,"10-19",1,"GG2514"
2020-02-29,"20-29",4,"GG2514"
2020-02-29,"30-39",1,"GG2514"
2020-02-29,"40-49",6,"GG2514"
2020-02-29,"50-59",2,"GG2514"
2020-02-29,"70-79",1,"GG2514"
2020-02-29,"40-49",2,"GG4607"
2020-02-29,"50-59",1,"GG4607"
2020-02-29,"20-29",1,"GG5206"
2020-02-29,"30-39",1,"GG5206"
2020-02-29,"40-49",2,"GG5206"
2020-02-29,"60-69",1,"GG5206"
2020-02-29,"80-89",1,"GG5206"
2020-02-29,"60-69",2,"GG7306"
2020-02-29,"20-29",1,"GG6106"
2020-02-29,"40-49",1,"GG6106"
2020-02-29,"80-89",2,"GG6106"
2020-03-01,"70-79",1,"GG4816"
2020-03-01,"80-89",1,"GG4816"
2020-03-01,"30-39",2,"GG3406"
2020-03-01,"40-49",2,"GG3406"
2020-03-01,"60-69",1,"GG3406"
2020-03-01,"80-89",1,"GG3406"
2020-03-01,"10-19",1,"GG5608"
2020-03-01,"30-39",1,"GG5608"
2020-03-01,"40-49",3,"GG5608"
2020-03-01,"50-59",5,"GG5608"
2020-03-01,"60-69",2,"GG5608"
2020-03-01,"70-79",3,"GG5608"
2020-03-01,"0-9",1,"GG0706"
2020-03-01,"40-49",1,"GG0706"
2020-03-01,"40-49",1,"GG2209"
2020-03-01,"40-49",2,"GG2014"
2020-03-01,"50-59",1,"GG2014"
2020-03-01,"60-69",1,"GG2014"
2020-03-01,"70-79",1,"GG2014"
2020-03-01,"80-89",1,"GG2014"
2020-03-01,"50-59",1,"GG0111"
2020-03-01,"40-49",1,"GG7014"
2020-03-01,"50-59",1,"GG7014"
2020-03-01,"60-69",3,"GG7014"
2020-03-01,"70-79",1,"GG7014"
2020-03-01,"80-89",1,"GG7014"
2020-03-01,"20-29",2,"GG5406"
2020-03-01,"30-39",1,"GG5406"
2020-03-01,"40-49",7,"GG5406"
2020-03-01,"50-59",10,"GG5406"
2020-03-01,"60-69",3,"GG5406"
2020-03-01,"70-79",5,"GG5406"
2020-03-01,"80-89",3,"GG5406"
2020-03-01,"20-29",1,"GG4506"
2020-03-01,"40-49",1,"GG4506"
2020-03-01,"50-59",1,"GG4506"
2020-03-01,"60-69",1,"GG4506"
2020-03-01,"50-59",1,"GG2707"
2020-03-01,"40-49",1,"GG1009"
2020-03-01,"70-79",1,"GG1009"
2020-03-01,"60-69",2,"GG6011"
2020-03-01,"40-49",2,"GG1413"
2020-03-01,"50-59",2,"GG1413"
2020-03-01,"60-69",1,"GG1413"
2020-03-01,"70-79",2,"GG1413"
2020-03-01,"50-59",1,"GG1106"
2020-03-01,"70-79",1,"GG1106"
2020-03-01,"90+",1,"GG1106"
2020-03-01,"10-19",5,"GG2514"
2020-03-01,"20-29",2,"GG2514"
2020-03-01,"30-39",1,"GG2514"
2020-03-01,"40-49",7,"GG2514"
2020-03-01,"50-59",6,"GG2514"
2020-03-01,"60-69",1,"GG2514"
2020-03-01,"80-89",2,"GG2514"
2020-03-01,"10-19",1,"GG4607"
2020-03-01,"20-29",1,"GG4607"
2020-03-01,"30-39",1,"GG4607"
2020-03-01,"40-49",1,"GG4607"
2020-03-01,"50-59",2,"GG4607"
2020-03-01,"60-69",1,"GG4607"
2020-03-01,"50-59",2,"GG5206"
2020-03-01,"70-79",1,"GG5206"
2020-03-01,"80-89",1,"GG5206"
2020-03-01,"20-29",1,"GG7306"
2020-03-01,"70-79",1,"GG7306"
2020-03-01,"40-49",1,"GG5006"
2020-03-01,"20-29",1,"GG6106"
2020-03-01,"70-79",1,"GG6106"
2020-03-01,"80-89",2,"GG6106"
2020-03-01,"10-19",1,"GG1911"
2020-03-01,"40-49",1,"GG1911"
2020-03-01,"80-89",1,"GG1911"
2020-03-02,"40-49",1,"GG4816"
2020-03-02,"60-69",1,"GG4816"
2020-03-02,"80-89",1,"GG4816"
2020-03-02,"10-19",1,"GG3406"
2020-03-02,"40-49",1,"GG3406"
2020-03-02,"60-69",5,"GG3406"
2020-03-02,"70-79",1,"GG3406"
2020-03-02,"10-19",1,"GG5608"
2020-03-02,"40-49",2,"GG5608"
2020-03-02,"50-59",1,"GG5608"
2020-03-02,"60-69",4,"GG5608"
2020-03-02,"70-79",3,"GG5608"
2020-03-02,"80-89",2,"GG5608"
2020-03-02,"60-69",1,"GG2209"
2020-03-02,"10-19",1,"GG2014"
2020-03-02,"30-39",1,"GG2014"
2020-03-02,"40-49",1,"GG2014"
2020-03-02,"50-59",2,"GG2014"
2020-03-02,"90+",1,"GG2014"
2020-03-02,"20-29",1,"GG3606"
2020-03-02,"40-49",1,"GG3606"
2020-03-02,"70-79",1,"GG0111"
2020-03-02,"50-59",1,"GG7014"
2020-03-02,"60-69",1,"GG7014"
2020-03-02,"30-39",4,"GG5406"
2020-03-02,"40-49",4,"GG5406"
2020-03-02,"50-59",4,"GG5406"
2020-03-02,"60-69",5,"GG5406"
2020-03-02,"70-79",5,"GG5406"
2020-03-02,"80-89",5,"GG5406"
2020-03-02,"40-49",3,"GG4506"
2020-03-02,"50-59",1,"GG4506"
2020-03-02,"30-39",1,"GG2707"
2020-03-02,"50-59",1,"GG2707"
2020-03-02,"40-49",1,"GG1009"
2020-03-02,"50-59",2,"GG1009"
2020-03-02,"60-69",1,"GG3109"
2020-03-02,"80-89",2,"GG3109"
2020-03-02,"0-9",1,"GG6011"
2020-03-02,"20-29",1,"GG6011"
2020-03-02,"40-49",2,"GG6011"
2020-03-02,"50-59",1,"GG6011"
2020-03-02,"60-69",2,"GG6011"
2020-03-02,"70-79",1,"GG6011"
2020-03-02,"30-39",1,"GG1413"
2020-03-02,"50-59",2,"GG1413"
2020-03-02,"20-29",1,"GG1106"
2020-03-02,"50-59",1,"GG1106"
2020-03-02,"10-19",2,"GG2514"
2020-03-02,"30-39",4,"GG2514"
2020-03-02,"40-49",5,"GG2514"
2020-03-02,"50-59",2,"GG2514"
2020-03-02,"60-69",2,"GG2514"
2020-03-02,"70-79",2,"GG2514"
2020-03-02,"90+",1,"GG2514"
2020-03-02,"30-39",1,"GG4607"
2020-03-02,"40-49",2,"GG4607"
2020-03-02,"50-59",2,"GG4607"
2020-03-02,"80-89",1,"GG4607"
2020-03-02,"90+",1,"GG4607"
2020-03-02,"40-49",3,"GG5206"
2020-03-02,"50-59",4,"GG5206"
2020-03-02,"60-69",2,"GG5206"
2020-03-02,"80-89",1,"GG5206"
2020-03-02,"40-49",1,"GG7306"
2020-03-02,"50-59",1,"GG5006"
2020-03-02,"60-69",1,"GG5006"
2020-03-02,"80-89",2,"GG5006"
2020-03-02,"40-49",1,"GG6106"
2020-03-02,"50-59",4,"GG6106"
2020-03-02,"60-69",1,"GG6106"
2020-03-02,"70-79",2,"GG6106"
2020-03-02,"80-89",3,"GG6106"
2020-03-02,"20-29",1,"GG1911"
2020-03-02,"30-39",1,"GG1911"
2020-03-02,"40-49",1,"GG1911"
2020-03-02,"60-69",1,"GG1911"
2020-03-03,"20-29",2,"GG3406"
2020-03-03,"30-39",1,"GG3406"
2020-03-03,"40-49",2,"GG3406"
2020-03-03,"50-59",1,"GG3406"
2020-03-03,"60-69",3,"GG3406"
2020-03-03,"90+",1,"GG3406"
2020-03-03,"30-39",2,"GG5608"
2020-03-03,"40-49",2,"GG5608"
2020-03-03,"60-69",2,"GG5608"
2020-03-03,"70-79",2,"GG5608"
2020-03-03,"80-89",2,"GG5608"
2020-03-03,"40-49",1,"GG0706"
2020-03-03,"20-29",1,"GG2209"
2020-03-03,"70-79",1,"GG2209"
2020-03-03,"20-29",1,"GG2014"
2020-03-03,"50-59",2,"GG2014"
2020-03-03,"80-89",1,"GG2014"
2020-03-03,"50-59",1,"GG3606"
2020-03-03,"20-29",1,"GG0111"
2020-03-03,"50-59",1,"GG0111"
2020-03-03,"10-19",1,"GG7014"
2020-03-03,"40-49",2,"GG7014"
2020-03-03,"50-59",4,"GG7014"
2020-03-03,"60-69",1,"GG7014"
2020-03-03,"90+",1,"GG7014"
2020-03-03,"20-29",1,"GG5406"
2020-03-03,"40-49",3,"GG5406"
2020-03-03,"50-59",5,"GG5406"
2020-03-03,"60-69",11,"GG5406"
2020-03-03,"70-79",3,"GG5406"
2020-03-03,"90+",1,"GG5406"
2020-03-03,"10-19",1,"GG4506"
2020-03-03,"20-29",2,"GG4506"
2020-03-03,"50-59",1,"GG4506"
2020-03-03,"30-39",1,"GG2707"
2020-03-03,"30-39",1,"GG1009"
2020-03-03,"50-59",1,"GG1009"
2020-03-03,"70-79",1,"GG1009"
2020-03-03,"20-29",1,"GG3109"
2020-03-03,"50-59",1,"GG3109"
2020-03-03,"10-19",1,"GG6011"
2020-03-03,"30-39",1,"GG6011"
2020-03-03,"70-79",1,"GG6011"
2020-03-03,"20-29",1,"GG1413"
2020-03-03,"40-49",1,"GG1413"
2020-03-03,"50-59",1,"GG1413"
2020-03-03,"80-89",1,"GG1413"
2020-03-03,"20-29",1,"GG1106"
2020-03-03,"40-49",1,"GG1106"
2020-03-03,"50-59",1,"GG1106"
2020-03-03,"70-79",1,"GG1106"
2020-03-03,"20-29",4,"GG2514"
2020-03-03,"30-39",1,"GG2514"
2020-03-03,"40-49",2,"GG2514"
2020-03-03,"50-59",1,"GG2514"
2020-03-03,"70-79",1,"GG2514"
2020-03-03,"10-19",1,"GG4607"
2020-03-03,"40-49",1,"GG4607"
2020-03-03,"50-59",3,"GG4607"
2020-03-03,"70-79",1,"GG4607"
2020-03-03,"90+",1,"GG4607"
2020-03-03,"20-29",1,"GG5206"
2020-03-03,"30-39",1,"GG5206"
2020-03-03,"40-49",2,"GG5206"
2020-03-03,"50-59",2,"GG5206"
2020-03-03,"60-69",2,"GG5206"
2020-03-03,"80-89",1,"GG5206"
2020-03-03,"90+",1,"GG5206"
2020-03-03,"70-79",2,"GG7306"
2020-03-03,"30-39",1,"GG5006"
2020-03-03,"40-49",1,"GG6106"
2020-03-03,"50-59",4,"GG6106"
2020-03-03,"60-69",1,"GG6106"
2020-03-03,"80-89",3,"GG6106"
2020-03-03,"40-49",1,"GG1911"
2020-03-04,"80-89",2,"GG4816"
2020-03-04,"20-29",1,"GG3406"
2020-03-04,"30-39",1,"GG3406"
2020-03-04,"40-49",1,"GG3406"
2020-03-04,"50-59",1,"GG3406"
2020-03-04,"60-69",1,"GG3406"
2020-03-04,"70-79",2,"GG3406"
2020-03-04,"0-9",1,"GG5608"
2020-03-04,"20-29",1,"GG5608"
2020-03-04,"40-49",2,"GG5608"
2020-03-04,"60-69",4,"GG5608"
2020-03-04,"70-79",2,"GG5608"
2020-03-04,"10-19",1,"GG0706"
2020-03-04,"30-39",2,"GG0706"
2020-03-04,"60-69",1,"GG2209"
2020-03-04,"10-19",1,"GG2014"
2020-03-04,"20-29",3,"GG2014"
2020-03-04,"50-59",1,"GG2014"
2020-03-04,"70-79",3,"GG2014"
2020-03-04,"80-89",2,"GG2014"
2020-03-04,"80-89",1,"GG3606"
2020-03-04,"30-39",1,"GG7014"
2020-03-04,"40-49",1,"GG7014"
2020-03-04,"60-69",1,"GG7014"
2020-03-04,"10-19",1,"GG5406"
2020-03-04,"30-39",1,"GG5406"
2020-03-04,"40-49",1,"GG5406"
2020-03-04,"50-59",6,"GG5406"
2020-03-04,"60-69",6,"GG5406"
2020-03-04,"70-79",7,"GG5406"
2020-03-04,"80-89",5,"GG5406"
2020-03-04,"50-59",1,"GG4506"
2020-03-04,"70-79",1,"GG4506"
2020-03-04,"30-39",1,"GG3109"
2020-03-04,"70-79",3,"GG3109"
2020-03-04,"20-29",1,"GG6011"
2020-03-04,"30-39",1,"GG6011"
2020-03-04,"40-49",2,"GG6011"
2020-03-04,"50-59",2,"GG6011"
2020-03-04,"70-79",1,"GG6011"
2020-03-04,"10-19",1,"GG1413"
2020-03-04,"30-39",1,"GG1413"
2020-03-04,"40-49",1,"GG1413"
2020-03-04,"50-59",3,"GG1413"
2020-03-04,"70-79",1,"GG1413"
2020-03-04,"80-89",1,"GG1413"
2020-03-04,"50-59",1,"GG1106"
2020-03-04,"60-69",2,"GG1106"
2020-03-04,"80-89",1,"GG1106"
2020-03-04,"10-19",2,"GG2514"
2020-03-04,"30-39",2,"GG2514"
2020-03-04,"50-59",2,"GG2514"
2020-03-04,"60-69",1,"GG2514"
2020-03-04,"70-79",2,"GG2514"
2020-03-04,"10-19",1,"GG4607"
2020-03-04,"20-29",2,"GG4607"
2020-03-04,"30-39",1,"GG4607"
2020-03-04,"40-49",2,"GG4607"
2020-03-04,"50-59",1,"GG4607"
2020-03-04,"60-69",2,"GG4607"
2020-03-04,"20-29",1,"GG5206"
2020-03-04,"30-39",2,"GG5206"
2020-03-04,"40-49",2,"GG5206"
2020-03-04,"50-59",6,"GG5206"
2020-03-04,"60-69",3,"GG5206"
2020-03-04,"90+",1,"GG5206"
2020-03-04,"50-59",2,"GG7306"
2020-03-04,"60-69",1,"GG7306"
2020-03-04,"60-69",2,"GG5006"
2020-03-04,"50-59",5,"GG6106"
2020-03-04,"60-69",2,"GG6106"
2020-03-04,"70-79",1,"GG6106"
2020-03-04,"80-89",2,"GG6106"
2020-03-04,"20-29",1,"GG1911"
2020-03-04,"60-69",1,"GG1911"
2020-03-04,"70-79",1,"GG1911"
2020-03-05,"50-59",2,"GG4816"
2020-03-05,"30-39",1,"GG3406"
2020-03-05,"40-49",1,"GG3406"
2020-03-05,"50-59",3,"GG3406"
2020-03-05,"60-69",4,"GG3406"
2020-03-05,"70-79",2,"GG3406"
2020-03-05,"30-39",1,"GG5608"
2020-03-05,"40-49",1,"GG5608"
2020-03-05,"50-59",5,"GG5608"
2020-03-05,"60-69",4,"GG5608"
2020-03-05,"70-79",2,"GG5608"
2020-03-05,"80-89",2,"GG5608"
2020-03-05,"90+",1,"GG5608"
2020-03-05,"50-59",1,"GG0706"
2020-03-05,"80-89",1,"GG0706"
2020-03-05,"60-69",1,"GG2209"
2020-03-05,"10-19",1,"GG2014"
2020-03-05,"40-49",2,"GG2014"
2020-03-05,"60-69",1,"GG2014"
2020-03-05,"70-79",1,"GG2014"
2020-03-05,"80-89",1,"GG2014"
2020-03-05,"40-49",1,"GG3606"
2020-03-05,"30-39",1,"GG0111"
2020-03-05,"60-69",2,"GG7014"
2020-03-05,"70-79",1,"GG7014"
2020-03-05,"10-19",1,"GG5406"
2020-03-05,"20-29",3,"GG5406"
2020-03-05,"40-49",4,"GG5406"
2020-03-05,"50-59",6,"GG5406"
2020-03-05,"60-69",5,"GG5406"
2020-03-05,"70-79",7,"GG5406"
2020-03-05,"80-89",6,"GG5406"
2020-03-05,"30-39",1,"GG4506"
2020-03-05,"40-49",2,"GG4506"
2020-03-05,"50-59",3,"GG4506"
2020-03-05,"60-69",1,"GG4506"
2020-03-05,"70-79",3,"GG4506"
2020-03-05,"30-39",1,"GG2707"
2020-03-05,"70-79",1,"GG2707"
2020-03-05,"20-29",1,"GG1009"
2020-03-05,"50-59",2,"GG1009"
2020-03-05,"40-49",3,"GG3109"
2020-03-05,"50-59",2,"GG3109"
2020-03-05,"70-79",1,"GG3109"
2020-03-05,"50-59",2,"GG6011"
2020-03-05,"60-69",1,"GG6011"
2020-03-05,"70-79",1,"GG6011"
2020-03-05,"40-49",1,"GG1413"
2020-03-05,"50-59",1,"GG1413"
2020-03-05,"60-69",1,"GG1413"
2020-03-05,"70-79",1,"GG1413"
2020-03-05,"80-89",1,"GG1413"
2020-03-05,"30-39",1,"GG1106"
2020-03-05,"50-59",3,"GG1106"
2020-03-05,"60-69",1,"GG1106"
2020-03-05,"20-29",1,"GG2514"
2020-03-05,"50-59",3,"GG2514"
2020-03-05,"60-69",3,"GG2514"
2020-03-05,"90+",1,"GG2514"
2020-03-05,"10-19",1,"GG4607"
2020-03-05,"40-49",1,"GG4607"
2020-03-05,"50-59",1,"GG4607"
2020-03-05,"60-69",1,"GG4607"
2020-03-05,"70-79",2,"GG4607"
2020-03-05,"90+",1,"GG4607"
2020-03-05,"10-19",1,"GG5206"
2020-03-05,"20-29",1,"GG5206"
2020-03-05,"40-49",4,"GG5206"
2020-03-05,"50-59",6,"GG5206"
2020-03-05,"60-69",4,"GG5206"
2020-03-05,"80-89",1,"GG5206"
2020-03-05,"60-69",1,"GG7306"
2020-03-05,"40-49",1,"GG5006"
2020-03-05,"50-59",2,"GG5006"
